,property_ref,scraped_at,bedrooms,bathrooms,type,area,sub_area,has_bq,is_furnished,in_estate,security,serviced,luxury_features,price
9949,3424226,2026-04-16 00:36:25.134456+00:00,1,1,flat,Lekki,Lekki Phase 2,False,False,True,True,True,0,6000000.0
9950,3424180,2026-04-16 00:36:25.139421+00:00,4,4,terrace,Lekki,Vgc,False,True,False,False,True,0,19000000.0
9951,3424176,2026-04-16 00:36:25.141662+00:00,1,1,mini-flat,Lekki,Vgc,False,False,True,True,False,0,1700000.0
9952,3424166,2026-04-16 00:36:25.146826+00:00,1,1,flat,Ajah,Sangotedo,False,False,False,False,True,0,1500000.0
9953,3424142,2026-04-16 00:36:25.153431+00:00,4,4,duplex,Ikeja,Omole Phase 1,True,False,True,True,False,0,25000000.0
9954,3424128,2026-04-16 00:36:25.154989+00:00,3,3,flat,Ikoyi,Ikoyi,False,False,False,False,False,2,35000000.0
9955,3424127,2026-04-16 00:36:25.156511+00:00,2,2,terrace,Lekki,Lekki Phase 1,True,False,True,True,True,0,20000000.0
9956,3424084,2026-04-16 00:36:25.160921+00:00,2,2,flat,Lekki,Cyberville Estate,False,True,True,True,False,0,12000000.0
9957,3424083,2026-04-16 00:36:25.162429+00:00,2,2,flat,Lekki,Ikate,False,False,False,False,True,1,12000000.0
9958,3424077,2026-04-16 00:36:25.163926+00:00,3,3,flat,Lekki,Ikate,False,False,False,False,True,3,14000000.0
9959,3379942,2026-04-16 01:19:59.183013+00:00,3,3,flat,Ikeja,Gra,False,True,False,True,False,1,40000000.0
9960,3423942,2026-04-16 00:36:42.564898+00:00,4,4,duplex,Lekki,Osapa,False,False,False,False,False,0,7500000.0
9961,3424039,2026-04-16 00:36:42.572089+00:00,1,1,flat,Lekki,Osapa,False,True,True,True,True,1,5000000.0
9962,3424030,2026-04-16 00:36:42.575325+00:00,2,2,flat,Ajah,Thomas Estate,False,False,True,True,True,0,4500000.0
9963,3423648,2026-04-16 00:37:01.418628+00:00,3,3,terrace,Ajah,Sangotedo,False,False,True,True,True,0,6000000.0
9964,3424025,2026-04-16 00:36:42.578466+00:00,4,4,terrace,Ajah,Sangotedo,True,False,True,True,True,0,8000000.0
9965,3424024,2026-04-16 00:36:42.581522+00:00,2,2,flat,Victoria Island (VI),Oniru,False,False,False,True,True,0,20000000.0
9966,3423994,2026-04-16 00:36:42.584533+00:00,2,2,flat,Lekki,Lekki Phase 1,False,False,True,True,False,0,15000000.0
9967,3423981,2026-04-16 00:36:42.587544+00:00,2,3,flat,Gbagada,Miyaki,False,False,False,True,False,0,4000000.0
9968,3423643,2026-04-16 00:37:01.421073+00:00,5,5,duplex,Lekki,Ologolo,True,False,False,False,True,0,14000000.0
9969,3423934,2026-04-16 00:36:42.596776+00:00,4,5,duplex,Lekki,Vgc,False,False,False,False,True,0,10000000.0
9970,3423932,2026-04-16 00:36:42.599803+00:00,5,5,duplex,Lekki,Ologolo,False,False,True,True,False,1,25000000.0
9971,3423889,2026-04-16 00:36:42.602886+00:00,2,2,flat,Lekki,Lekki Phase 1,False,False,True,True,True,0,13000000.0
9972,3423882,2026-04-16 00:36:42.605545+00:00,2,3,flat,Lekki,Ikate,False,False,False,False,True,1,12000000.0
9973,3423871,2026-04-16 00:36:42.607198+00:00,2,2,penthouse,Lekki,Lekki Phase 1,False,True,True,True,True,0,15000000.0
9974,3423842,2026-04-16 00:36:42.608898+00:00,2,2,flat,Lekki,Ikate,False,True,True,True,False,0,12000000.0
9975,3423814,2026-04-16 00:36:42.610579+00:00,2,2,flat,Gbagada,Millennium Estate,False,False,False,False,True,0,4500000.0
9976,3423812,2026-04-16 00:36:42.612369+00:00,1,1,flat,Gbagada,Millennium Estate,False,False,True,True,True,0,2500000.0
9977,3423788,2026-04-16 00:36:42.614064+00:00,2,2,flat,Lekki,Conservation,False,False,False,False,True,0,6000000.0
9978,3420036,2026-04-16 00:36:42.615776+00:00,3,3,Maisonette,Ajah,Eti-Osa,False,False,False,False,False,0,5000000.0
9979,3423713,2026-04-16 00:37:01.405820+00:00,3,3,flat,Ikoyi,Gerrad,False,False,False,False,False,0,50000000.0
9980,3423694,2026-04-16 00:37:01.407596+00:00,4,4,duplex,Ikeja,Omole Phase 1,True,False,True,True,False,0,25000000.0
9981,3423689,2026-04-16 00:37:01.409373+00:00,2,3,flat,Lekki,Ikota,False,False,False,False,True,0,4500000.0
